售前/售后,英文/小语种,id,渠道channel,会话chatSessionId,客户名称customer,提交时间,remark,sessionId,starLevel,意图分类,翻译
售后,英文,6e05ef017b1f4ace15822b39843fd628,na_sp1,|82710531492769550943047,6yp7guDzc5cKiBpmFsdvew==,2024-10-14,"Not helpful in anyway, a distraction hoping to frustrate and delay.",/S4Y/ExAc3LXcK8mkxcfWsWoCn1OjRUSFIOexv4MCxk=,1.0,服务不满,无论如何，都没有帮助，希望沮丧和延迟。
售后,英文,ed7ec5b512d9a097239766252d2c17bd,na_sp1,|82710622970971772796153,Ae0M9BXwM25icnh8yCEDcQ==,2024-10-14,I wasnt finished tying my problem and you cut me off . Very poor service!!,h/tP8Kwa/IsSSepia2Aw7AwqPOqYIB3j35hPPIq4xjg=,1.0,"服务不满,产品故障",我把我的问题绑在一起，你把我切断了。服务很差！！
售前,小语种,a8dcd1820fe0aa9cc999fa5d935c0353,kr_store1,|82711823410283820039609,V/iUUDIMxmkx1bT760k31aNS8H2J4+UkC39unTy9Cow=,2024-10-13,,,,无效数据,
售前,英文,2da3054cc108a81a8737ba89e7987c6d,na_store1,|82709800003141939359769,IQmTFZjeNp4uu0W1KGri9h42vrTVRgw2efTqwxrvqvQ=,2024-10-15,consumers need more specific responses,UqUQo3DQDhGTlq+8xj7qFg9c+qvcLY2iVgGQti/CH80=,3.0,使用指导,消费者需要更具体的回应
售后,小语种,23980d04191ddc99cf31fb236836bc77,de_sp1,|82712767593272570817216,1SlzWkRGtqRTZEkMmu626A==,2024-10-12,dji osmo action 3 aus dem konto entfernen,z5b1MbEZFR33mo9ESjwlBrX71ySGC2czmrXjEOcOcho=,1.0,账户管理,DJI OSMO ACTION 3 AUS DEM KONTO ENTFERNEN
售后,英文,b9a213fb906d4bd2a0a8a50c2681324b,na_sp1,|82709900926555072185160,ucxktj6AGTV8/VPULOZUo+8PMjGzDB0hSzddUxhbIak=,2024-10-15,It gave me some alternatives on how to charge my controller or to send it in for diagnosti and fix. ,P6jbgL0gkOzjpjQ6Oen9OAiVBTOq1PFQ3ETFt3SvHCk=,5.0,"设备维修,满意表扬,使用指导",它为我提供了有关如何为控制器充电或将其发送给诊断和修复的SOM替代方案。
售后,英文,77d2351fc5734180ed6cfd781e223fb2,na_sp1,|82709923644936315276285,mbzdxmZ2hamBsIYP93+jKq7aKWyPhUBtVx0vsjHRr7o=,2024-10-15,didnt get any respond,E+R9VCkMLh+5SPUlVj97lC9Y6v2WuRF8fSHsuiMc0YE=,1.0,服务不满,没有得到任何回应
售后,英文,dc781f498b4f1a7d9c18f753c952a5be,eu_sp1,|82710078811002254479847,6bduGhjgXMlS4RZPuRJb7g==,2024-10-15,Hello!,lAH92v9ToxGQAERufcsyqsBU0Jf3UE8Bsv5SLFOhMpU=,5.0,礼貌问候,你好！
售后,英文,200672603f07d2dcb0fba91173ca6748,fb_sp1,|82710292436269767140444,JD01O1qUD1+OBBD31Yvoxtb1Bqxdk22pfBqqkiXTbUY=,2024-10-15,Camera is moving after power off the pocket 2. Please answer my question,NxUgb+Qc6T9fwsBj7sZTlfeMQ2rwOEGNPi0hi18qeOE=,1.0,"产品故障,礼貌问候",摄像机在电源下电源2之后移动2。请回答我的问题
售前,英文,28b8c1fd77376b0fba678533c189d585,na_store1,|82708882723787485689085,Sh37Lqkz0fbg5K+9gX/QBg==,2024-10-16,More flight experience with DJI Neo,hSLL60cq9fScsHqn+gd4Tx47qpWUWLwELG7MJYU7FmA=,2.0,服务不满,DJI NEO的更多飞行经验
售后,英文,48dd7b20851a87fa8c158b03fe3a08b0,na_sp1,|82708960179762981141910,WIay0Zsi8L60XUAKCzPn+9ljylCT96qGcppgwokTbVM=,2024-10-16,I  have a  action 5 Pro    i  can  not   download   video  files    to  my  i phone 15  on the  mimo,WbVhPVj5n0/y6DIx1ECaXw==,1.0,APP使用,我有一个动作5 Pro，我无法将视频文件下载到MIMO上的I Phone 15
售前,英文,94278db5536d7fe6f236205116ad4d3e,au_store1,|82709526533727165731502,jXotkRUJ7ZZ7T8d2mcxgJK7D6Xc18au+vVrOK74o464=,2024-10-16,Never got to chat to a live assistant,htZJIypnTAWbi6MknnWrNnRDYUUcCDpG6VXQ/fglbCc=,1.0,服务不满,从来没有与现场助手聊天
售后,英文,5ebc6289472860f7e96e05135f447c6c,na_sp1,|82709118819837473936389,96b1vaWwy85EWCxjYbDcsov/Q4M86KWW4y03h6LSFj8=,2024-10-16,"this page is to technical! I purchased the extended warranty, my unit broke and I need it fixed  ",Y1rODy0Uw/GpUvdN+TX9jr0qoQxeP5rcAFSNYsgdxKU=,1.0,"设备维修,购买咨询,保修咨询,礼貌问候",此页面是技术！我购买了扩展保修，我的单位破产了，我需要修复
售后,英文,a30984bb75d924d83dac1b4c6c6ca3da,na_sp1,|82708897304431413287590,MZ9dEIxcRCzQY1rNPvfNLw==,2024-10-16,,,,无效数据,
售后,英文,e5311d4eaab14245225566aa8b6dbabe,eu_sp1,|82709147034038466710545,y5taOyRcxIrMA314YKm4Ig==,2024-10-16,Did not get to chat with a human being.,5do//EibIcFDT3BuAX/EgOaS0GgmeI2i4QyDaeGdVU8=,1.0,服务不满,没有与人聊天。
售前,英文,01e9976f7fe90823c5c1e16e60aa5ba8,eu_store1,|82708396128542345158562,pJVqinqqy0HBe/v84IgVwFqRLXQ0NR6SdlmE2ghRxJo=,2024-10-17,Hi I'm having problem activating my dji pocket 2 with my Samsung note 10 can you please help me ,PDe/iDhnpTBuy4HLGDNggmDTU7vFqiSbl8VXkrnmHkQ=,5.0,"产品故障,礼貌问候,激活设置",嗨，我正在用我的三星便笺激活我的DJI口袋2 10，请帮助我
售前,英文,d12e26b2d6304a83ab28c46b491a83a4,na_store1,|82707248747898012533759,l+6qroNgEN0SJKkCVSV5pxHmXSgELDszkQgtHuoWllQ=,2024-10-18,"Please following address. Richard Pierce, 295 seven farms drive, suite C - 158 - Daniel Island 29492",GgAUbIwL8ZxKgYwe7YW7/HTDvFYCUVCW0LsqDdi1rpI=,3.0,"物流配送,礼貌问候",请以下地址。理查德·皮尔斯（Richard Pierce），295 Suite C -158 -Daniel Island 29492
售后,英文,410719ac1805abedeb16cd9d223660d8,fb_sp1,|82707640182817324189014,jOd5bKaX7OxjuiXDjgroOnZhpVrNITq70DrWUXcf40w=,2024-10-18,not resolving my problem,snoenIooZb5XsFYMAUfGfBnUpNKQqmShZ1dT673yNkk=,1.0,产品故障,不能解决我的问题
售前,英文,9498ec3e8dca177eb9d222e6136593fd,au_store1,|82707875547243103879199,6EDSCgxr2LUGSI7N3r4IPg==,2024-10-18,Not even close to asking the questions needed to assist me. Waste of time,AZbAXLBEwNTXfAKpXyRku30kYtGwqLqgu1/qgnWaslk=,1.0,服务不满,甚至还没有问帮助我所需的问题。浪费时间
售前,英文,2dcf3371e4f02b83e977696d606a4953,eu_store1,|82706552491028036498263,obSZzxoQGdk+H8JSzhSEMeKen34wNQngvux1GjuksQM=,2024-10-19,,,,无效数据,
售后,英文,3a1f3bae54462564271f9d1d31965583,na_sp1,|82706499745917203154840,DdIbAPP22a2/rQXd5pndIFrlzvxzkHIElULHjL6UT1o=,2024-10-19,I can't find the service. I have broken clips on my new dji mini 4 pro bettery ... It's impossible t,xaQRrGe1/bwqhQMMcDjXQ/pbsSdq8ZS0ax09OtwLeNk=,1.0,"产品故障,设备维修,设备丢失",我可以找到服务。我在新的DJI Mini 4 Pro Bettery上打破了剪辑...这是不可能的
售前,小语种,471c29e715a196e1c0e19ad9f1fb9572,kr_store1,|82706663357409950154659,u19bcqD7QeHhUkM5oLnEy8cMo6b7jivTo+tIRhVSsMo=,2024-10-19,감사합니다,yUP8Q712eL8fhZH9EcYtRfv6VKMnvXTKfK0jIEEyRCc=,5.0,满意表扬,谢谢
售前,英文,da55dd0953a3a75f4e26a17e07267037,eu_store1,|82706753390261728734888,XVVMOz2TWD0ve8Hf2MphM5s2DpNJpHnAUh4vnj+z1Ec=,2024-10-19,Need a talk tobreal person,S86PGfSgDZawf8/kOR6UKUNkn6N0k72/gWEgMl6d6ks=,2.0,服务不满,需要一个谈话的人
售前,英文,057f239efdc3ebf14496a842a553d035,eu_store1,|82707121854345371848011,I6cKKqJ4snmv/HhRPE+lwQ==,2024-10-20,Thank you,jGhwBiBtRfqKuemA7sJZ2MQyfTxb5rPii+befsoxVu8=,5.0,"满意表扬,礼貌问候",谢谢
售后,英文,810805343849defe6a8086f45f323e05,eu_sp1,|82704530067105800090488,RkG2hVlSOGmKAcUxQ0Eq9GypNYnVe4MzpDuS/DFk5Dw=,2024-10-21,"get better customer support, weirdos,",5gGhvnkXAKycounk6XmHWwE7tZmhLuKyvaPnu2+LW9U=,1.0,设备兼容,获得更好的客户支持，怪异，
售后,小语种,36a58c91454d4df61b16a61f9a497591,kr_sp1,|82703479770061934743156,uemPI9JqfJt8cvSezqu3VgnfD1CYRnom7pF5pZUvkxo=,2024-10-23,,,,无效数据,
售前,英文,5a606f6f9704d362cb94d406d7759c9e,eu_store1,|82704305281382742691641,sJn2YxBOEoS2Rnv5BO50jQ==,2024-10-22,"please feedback for my order 0487082813778 canceled, payment has been delivered.",VtIXrRTQaw3MR+56GcDFkRRkBrtMn0LkgpwY9ieDcoY=,5.0,"购买咨询,物流配送,礼貌问候,退换处理",请取消我的订单0487082813778的订单，已取消付款。
售后,英文,3eb4e28b50294e616bf94f43c0a44656,eu_sp1,|82704169197899905862542,5gbSUyCTJHiV9PqAVAHCGPRIGL4gziOlbz9hi8cgklQ=,2024-10-22,rubbish's compony which stop supporting the first client wihich have DJI mavic Mini 4k  shame on you,ZmfnFMyg3e4fmlAwS6Nx8/+vVxrLzZJ7+oyv5X+ad8A=,1.0,"设备兼容,礼貌问候",垃圾的副本停止支持第一个客户wihich使您感到dji mavic mini 4k羞耻
售后,小语种,9bb10ef2538f57fb409ba27c6fba02de,de_sp1,|82704997331238983674459,访客-432c14,2024-10-21,,,,无效数据,
售后,英文,47f32dcb56df17226623788fa3d07fa7,na_sp1,|82703139315098194495481,nMMUm45raoxkFetNgyXGTg==,2024-10-23,,,,无效数据,
售后,英文,842d28ff5160618ac34bd14b2036ca89,eu_sp1,|82702162599446614269358,55XIbhC66BTAmf8Y88Q0ww==,2024-10-24,No one replied and then the chat was closed....,Jv33An3RYfbIKDrk/T5nGGsvSzjq1uZvR+gKCK5C+EA=,1.0,服务不满,没有人折叠，然后猫被关闭了。
售后,英文,bdb3f67b26094493fe1eab415c78c68e,na_sp1,|82702549925456387817802,Bk1wx2EBMBQkwJ/gP3b93g==,2024-10-24,,,,无效数据,
售后,英文,443bc9a439be9b5be43859a56452ad0b,na_sp1,|82702616373787113456930,ms4lIxKtv8oGXREJ0BbjmsI74P9lSKI6B0zmDSB5IGs=,2024-10-24,I can't get anything to download to my Samsung s23 android for fly app??? I'm getting frustrated!!!,roX5RUBfvrtCARgwmxYhoUfPl4p2o3JGn5dr5XQht7o=,1.0,"服务不满,APP使用,礼貌问候",我无法下载到我的三星S23 Android for Fly App上？？？我很沮丧！！！
售前,英文,c52b6289f0eb1116e416bbaa7f8156a8,na_store1,|82701052318174739627003,Hd3ZXNXOBtne1iYns4JUaOR0bIIx085UN55arMIw7FA=,2024-10-25,Cancel my order ,sH/E8XPygsyckjTZfpGed2enuBTeWTqfNjr5o5T2yWY=,1.0,"购买咨询,退换处理",取消我的订单
售前,英文,9416a7526a60d70ce6f06c99ac115a94,na_store1,|82701082894141704766712,/SbNrlRVWF2xnxr9xvWCYw==,2024-10-25,need support for my MAVIC PRO,prlWXWOuJnHt09UBT7y96MsqMDO3xO5IHOp+nU2ydiQ=,5.0,设备兼容,需要支持我的Mavic Pro
售后,英文,4ff9af1b2137d9fc612cb5ef58c63e70,na_mimo1,|82701269974708534373991,cQjuV36I0sc8NlHorMsw3A==,2024-10-25,Both reps I interacted with were very helpful and informative.   I appreciate it their mannerisms.  ,zcGhH92gWeWn7yQ/zHe8ueHsdaDgaEYQPxBH0SW54rU=,5.0,APP使用,我与之互动的两位代表都非常有帮助和有益。   我感谢他们的举止。
售前,英文,710fe2f6af99c1657ecb546ffae553fa,na_store1,|82701965882572662863890,CAu7g615GAkN/uxNowm73zuxHWdOOZ1X03386lOeng4=,2024-10-25,there was no chat session,A4Tcjj/aNvAi4DLf8UAM97HRU95g72AycHb8+SY3sRE=,1.0,服务不满,没有聊天会话
售后,英文,28894e63b9bdede99829335adb35b4af,fb_sp1,|82700279621889670831140,bKqP+TtKeTx7psJu35+jBIAp7dOGHmHXIZvlSVxFo7s=,2024-10-26,,,,无效数据,
售后,英文,3dcf318b1ee377888e49383110e749a7,en_other18,|82699826512325260381389,9BSLzVs84TQ9wzN0Dt9H8BH/Gk9r9iCz2eGCdS/cltQ=,2024-10-27,Need help asap,Rhoi/mJDP51KfJeMXT3xxuvVN9IVfetyJPkEz2AHqE8=,1.0,"服务不满,使用指导",需要尽快帮助
售前,英文,de2669fda0b29e7f753ae448041b62bb,eu_store1,|82698713061383333491472,F5wFlzMD+bbf9qu89be5f0P6WScSr7QRRXhgJFCQ1d8=,2024-10-28,Actually answer my question and not supply random completely incorrect answers,QFTGUTpFch2BgGfcvmnQiQ==,1.0,服务不满,实际回答我的问题，而不是随机提供完全错误的答案
售后,英文,5ea0109e5e6c9d7fde7c1cdc4f0f0aae,na_sp1,|82698805892136103749283,H0m7D//vRP79WQF3aFHmNg==,2024-10-28,you will not let me ask a simple question through regular email. ,99siFtkwLdlFoDpBnN0Odp3Ka5I3Rrpg8QzTyG2k5+Q=,1.0,服务不满,您不会让我通过常规电子邮件问一个简单的问题。
售后,小语种,79e562eb3accb6f66375f9f8e15bef39,it_sp2,|82698965689762138080141,9f9SeaZxXzQHb31I/0PlALOzg7R0/8EIZbC0dDc6MdI=,2024-10-29,"Siete fantastici,gentilissimi!cosa posso dire di più?Continuate così!",azvaELMnzFFFVoO5733Li90rjSSg4H5C+HvN2nU85l4=,5.0,"满意表扬,使用指导",Siete Fantastici，温柔！ Cosa Posso说diPiù？继续così！
售前,英文,46a3a5c4b913f1cb66986ad27bf5d542,eu_store1,|82696276696723353488913,i8SodfD5vHzEbfpobmJIA6VV5XjVr8FHzn8f3Izt61Y=,2024-10-31,"Tty responding to questions, that would be a great start",5YBzVoFNLnfuQLIr3L4F4hhCIxg/HA9ugxcVjZCVe+8=,1.0,满意表扬,TTY回答问题，哇，这是一个很好的开始
售后,英文,51f7582c58c9a0f99399d6befdf9ee48,na_sp1,|82696792718592685779012,oxwSxHW55+7HPAegQLwo1rmMCRwXg5owMUy9jo+RNLU=,2024-10-31,Can't download DJI Mavic Mini App.  Anything but...,5RXiWb2hYUz6OqBveLoWDpxFi2iVvGWUn2OVr1KvOk0=,1.0,"APP使用,礼貌问候",无法下载DJI MAVIC MINI应用程序。  除了...
售前,英文,82a6aeac8b452cacdc16859cee2ecff2,au_store1,|82696399104837491836823,m9PoXsJ2Xkjqj4K8VjCMsVR7kHsn2gQAm1lSDuhvUQw=,2024-10-31,Understanding question and answered appropriately ,Mw8xDt/NmlT16VI1hG6mAQvfHxtFAL1DgVPlMzSrK8c=,5.0,APP使用,理解问题并适当回答
售前,英文,a629147e11fa4e13793274dd737a99b7,na_store1,|82695285484126535620094,IdXwm2OHgALd4fWwPaXJ3Eh86tia6fN0PYMKMl4goLs=,2024-11-01,UNABLE TO FND THE PROBLEM,W6JeJ00ZfREt+YUco3KLz0p4CV7CPjHcyjZWlhNq6Qg=,1.0,产品故障,无法解决问题
售前,英文,88bf6cbc8d089d2c65dc5a645f743743,eu_store1,|82695363571294644130981,vF8uF0Jm1mn/iNNkFNkKlg==,2024-11-01,I can't talk to anyone. I just get a list of FAQ's,+GjCIRyaS2B/2DR41mTW6om9PUwGZ2HkIR45yyvl8JQ=,1.0,服务不满,我不能和任何人说话。我只得到了常见问题的清单
售后,英文,39d12bc2fc561b23e398277bb4568c1e,na_fly1,|82694220061422503958528,PwjVrPg7tO09B2WdeJVeUNy7b5JRA9cEVDZPNcsBJLI=,2024-11-02,Could not resolve my issue.  Very frustrated overall with DJI customer service.,dqRYo2CneJ3ccUPKJV8ItafYtyKqny3QXU3mTM9ZJtc=,1.0,"服务不满,产品故障",无法解决我的问题。  DJI客户服务总体上非常沮丧。
售前,小语种,6272cd5213328a74eed9e649ed799661,de_store1,|82694546023276368379661,m/V9qfjR+FxqvI7Y8+siR06O0EOSMUx/AEiFbzZEr90=,2024-11-02,Ich möchte DJI Care kaufen,iWzsDHWZy1qqV08S5C/FNvthRfXvab6XKxIjgOATWvQ=,2.0,服务不满,我想买DJI护理
售后,英文,4f815b0e57e34b5d2188003ba4ac23fe,eu_sp13,|82694308525366715564783,oXEthpu4xj793J+Q00FAyg3BPtEbJoZKSRKMTS1mnb4=,2024-11-02,Everything. Completely useless. Very poor navigation to a series of dead ends and sales pitches. ,LB5hikhWglziSQAL51Zr5QLqhG9ZKN7v0p9VixUQFSk=,1.0,"服务不满,购买咨询,礼貌问候",一切。完全没有用。非常糟糕的导航到一系列死胡同和肮脏的坑。
售后,英文,f1cd194e65190ef7b9c371bbd65d0c31,na_sp1,|82693664020226887824238,qAi2nPW41lU3s0R2Zyvclg==,2024-11-03,After hours there ought to be a way to leave a message or send an email. ,6cdNdoANVIijdApFaL0BjDvZYAbn4V6sTizOA/rPrng=,1.0,服务不满,几个小时后，ouught是一种留言或发送电子邮件的方法。
